prompt,kind,pos,pending,draft,accepted_batch,accepted_draft,bonus,next_model_id,tier,rule_chain,rule_conf,rule_support,ctx_tail_ids,ctx_tail_text,draft_ids,draft_text,model_draft_ids,model_draft_text,next_model_text,mismatch_at,why,rule_strikes,draft_mistakes,decode_s,verify_s
implement linked lsit in python only code no comments,spec_eval,1,1,0,1,0,73594,73594,none,,,,94474 10592 19597 275 304 10135 1172 2038 902 6042 198,implement linked lsit in python only code no comments\n,,,,,```,,no_pattern_fired,0,0,0.03954580000026908,9.819999968385673e-05
implement linked lsit in python only code no comments,spec_eval,2,1,0,1,0,12669,12669,none,,,,94474 10592 19597 275 304 10135 1172 2038 902 6042 198 73594,implement linked lsit in python only code no comments\n```,,,,,python,,no_pattern_fired,0,0,0.037978300000304444,0.00016800000003058813
implement linked lsit in python only code no comments,spec_eval,3,1,0,1,0,198,198,none,,,,10592 19597 275 304 10135 1172 2038 902 6042 198 73594 12669, linked lsit in python only code no comments\n```python,,,,,\n,,no_pattern_fired,0,0,0.037862700000005134,8.019999995667604e-05
implement linked lsit in python only code no comments,spec_eval,4,1,1,1,0,1040,1040,det_ctx4,det_ctx4,1.000,8,19597 275 304 10135 1172 2038 902 6042 198 73594 12669 198, lsit in python only code no comments\n```python\n,750,def,1040,class,class,0,draft_token_mismatch,1,0,0.0907374999997046,0.00026939999997921404
implement linked lsit in python only code no comments,spec_eval,5,1,0,1,0,6018,6018,none,,,,275 304 10135 1172 2038 902 6042 198 73594 12669 198 1040,it in python only code no comments\n```python\nclass,,,,, Node,,no_pattern_fired,1,0,0.040186000000176136,6.979999989198404e-05
implement linked lsit in python only code no comments,spec_eval,6,1,0,1,0,510,510,none,,,,304 10135 1172 2038 902 6042 198 73594 12669 198 1040 6018, in python only code no comments\n```python\nclass Node,,,,,:\n,,no_pattern_fired,1,0,0.03774830000020302,0.00013140000010025688
implement linked lsit in python only code no comments,spec_eval,7,1,1,2,1,707,707,syntax_indent,syntax_indent,0.980,999,10135 1172 2038 902 6042 198 73594 12669 198 1040 6018 510, python only code no comments\n```python\nclass Node:\n,262,   ,262,   , def,,draft_accepted,1,0,0.04586639999979525,0.00021920000017416896
implement linked lsit in python only code no comments,spec_eval,9,1,0,1,0,1304,1304,none,,,,2038 902 6042 198 73594 12669 198 1040 6018 510 262 707, code no comments\n```python\nclass Node:\n    def,,,,, __,,no_pattern_fired,1,0,0.04072200000018711,0.00011380000023564207
implement linked lsit in python only code no comments,spec_eval,10,1,4,5,4,821,821,syntax_dunder_init,syntax_dunder_init|syntax_dunder_paren|syntax_dunder_self|det_ctx7,1.000|1.000|1.000|1.000,999|999|999|2,902 6042 198 73594 12669 198 1040 6018 510 262 707 1304, no comments\n```python\nclass Node:\n    def __,2327 3804 721 11,"init__(self,",2327 3804 721 11,"init__(self,", data,,draft_accepted,1,0,0.09290199999986726,0.0004900999997516919
implement linked lsit in python only code no comments,spec_eval,15,1,0,1,0,982,982,none,,,,198 1040 6018 510 262 707 1304 2327 3804 721 11 821,"\nclass Node:\n    def __init__(self, data",,,,,):\n,,no_pattern_fired,1,0,0.040743099999872356,0.00012559999959194101
implement linked lsit in python only code no comments,spec_eval,16,1,1,2,1,656,656,syntax_indent,syntax_indent,0.980,999,1040 6018 510 262 707 1304 2327 3804 721 11 821 982,"class Node:\n    def __init__(self, data):\n",286,       ,286,       , self,,draft_accepted,1,0,0.0472341999998207,0.00022829999988971394
implement linked lsit in python only code no comments,spec_eval,18,1,0,1,0,2196,2196,none,,,,510 262 707 1304 2327 3804 721 11 821 982 286 656,":\n    def __init__(self, data):\n        self",,,,,.data,,no_pattern_fired,1,0,0.04147400000010748,0.00020840000024691108
