implement linked list in python (only code, no comments)
implement fibonacci in python (only code, no comments)
implement bst in python (only code, no comments)
reverse a list in python (only code, no comments)
reverse linked list in python (only code, no comments)
check prime number in python (only code, no comments)
implement merge sort in python (only code, no comments)
implement quick sort in python (only code, no comments)
check palindrome string in python (only code, no comments)
delete at end in linked list in python (only code, no comments)
insert at beginning in linked list in python (only code, no comments)
delete node at beginning in linked list in python (only code, no comments)
implement min heap in python (only code, no comments)
implement max heap in python (only code, no comments)
implement binary tree in python (only code, no comments)
implement stack using list in python (only code, no comments)
implement queue using list in python (only code, no comments)
